Hospital provider code and description†,,,,,,,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency,Elective,Other
NT404,BEAUMONT HOSPITAL,,,,,,"4,620","4,620","2,090","2,530",0,0,"4,620",0,0,207,84,1.2,1,55,0,0,0,0,0,0,0,10,15,110,205,240,310,365,385,480,525,535,460,395,350,180,45,10,"4,070",687,"4,620",40,0
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,,,,,,"247,270","204,415","106,215","141,055",*,"83,225","60,460","29,135","31,595",70,30,3.3,1,51,"14,975","5,965","4,010","3,625",900,870,935,"1,000","1,180","7,985","13,465","15,930","13,420","11,415","10,900","12,565","15,635","17,290","17,105","17,750","20,430","16,755","12,905","7,820","76,740","415,012","247,270","5,675","13,270"
NWF01,BENENDEN HOSPITAL,,,,,,"2,040","2,040",940,"1,095",*,0,"2,040",0,0,64,50,1.9,2,60,0,0,0,0,0,0,0,*,*,50,65,75,110,115,110,155,190,230,250,230,270,125,50,*,"1,495","1,017","2,040",0,0
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,,,,,,"3,325","3,325","1,560","1,765",*,690,735,"1,500",400,,,34.1,23,69,0,0,0,0,*,0,*,15,20,130,95,110,75,85,110,110,155,170,180,245,405,475,470,450,*,"113,471","3,325",15,*
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,,,,,,"8,470","7,785","3,770","4,700",0,50,480,"5,950","1,305",,,12.7,0,46,0,220,"1,340",895,140,90,75,55,40,270,320,310,290,240,210,250,315,260,300,330,550,635,725,615,0,"120,896","8,470","4,625",0
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,,,,,,"69,870","66,235","31,395","38,475",*,"14,455","24,595","9,285","17,900",99,38,3.5,1,11,"13,695","12,975","11,075","12,695","2,920","1,740",715,200,145,"1,435","3,065","3,820","2,450",920,280,280,250,140,95,90,75,45,20,*,"23,725","152,169","69,870","4,115","1,420"
NT405,BISHOPS WOOD HOSPITAL,,,,,,935,935,450,485,0,0,935,0,0,100,61,1.8,2,61,0,0,0,0,0,0,0,0,*,20,25,35,55,60,60,75,85,70,110,100,100,90,40,*,705,418,935,10,0
NT406,BLACKHEATH HOSPITAL,,,,,,"2,595","2,595","1,280","1,310",0,0,"2,595",0,0,132,77,1.6,2,55,0,0,0,0,0,0,0,*,10,65,145,175,195,185,205,215,235,285,225,225,230,115,45,*,"1,915","1,116","2,595",35,0
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,,,,,,"156,540","119,320","74,745","81,795",*,"45,975","61,940","4,135","7,270",70,30,5.4,1,60,"3,845","1,955","1,600","1,170",270,330,470,480,595,"3,205","4,370","5,720","5,560","5,015","5,630","7,915","11,775","14,375","15,895","16,065","18,845","15,035","10,180","5,825","59,585","323,519","156,540","1,205","1,660"
NVC31,BLAKELANDS HOSPITAL,,,,,,"3,720","3,720","1,640","2,075",0,0,"3,720",0,0,73,61,1,1,56,0,0,0,0,0,0,0,*,10,80,160,215,320,335,305,345,315,340,320,310,320,220,85,25,"3,720",1,"3,720",0,0
NHW04,BLANDFORD HOSPITAL (STANDARD HEALTH),,,,,,20,20,*,15,0,0,0,20,0,,,,,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,0,0,20,0,20,0,0
RMC,BOLTON NHS FOUNDATION TRUST,,,,,,"97,540","86,935","39,935","57,605",0,"38,615","23,875","6,825","17,615",96,38,4,1,48,"7,395","2,975","2,115","1,500",325,335,415,570,560,"3,975","6,970","7,690","5,570","3,900","3,465","4,295","5,205","5,745","6,055","6,610","7,960","6,580","4,585","2,440","25,480","252,393","97,540",665,"6,810"
NVC27,BOSTON WEST HOSPITAL,,,,,,"3,870","3,870","1,645","2,225",0,0,"3,870",0,0,91,70,,,62,0,0,0,0,0,0,0,15,15,70,110,140,175,195,205,285,310,340,345,450,550,430,170,60,"3,870",0,"3,870",0,0
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,,,,,,"1,355","1,205",740,615,0,"1,065",*,10,130,,,60.8,33,41,0,0,0,*,*,*,10,40,15,165,160,160,165,130,100,80,100,85,45,25,25,15,10,*,0,"73,541","1,355",0,*
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,,,,,"155,800","133,365","59,805","95,985",*,"47,685","33,780","21,215","30,685",67,27,3.2,1,46,"8,860","4,870","3,705","2,695",660,630,725,925,"1,170","8,865","13,300","13,395","10,545","7,540","5,995","6,950","8,090","8,930","9,880","9,690","9,995","7,650","6,090","3,560","48,610","278,650","155,800","1,050","18,400"
NQA20,BRAINTREE COMMUNITY HOSPITAL,,,,,,170,170,40,130,0,0,0,170,0,,,,,61,0,0,0,0,0,0,0,0,0,*,*,*,*,10,10,25,30,25,20,20,15,10,*,*,170,0,170,0,0
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,,,,,,"144,790","134,390","61,545","83,185",60,"60,625","38,560","15,395","19,810",80,33,2.8,0,52,"7,060","2,545","2,010","1,640",400,550,680,645,695,"4,585","7,520","10,360","9,035","7,360","6,295","7,580","9,215","9,745","9,930","10,655","12,860","10,325","7,860","4,505","49,325","241,818","144,790",480,"9,230"
A4M8P,BUCKSHAW HOSPITAL,,,,,,"6,480","6,480","3,165","3,315",0,0,"6,480",0,0,98,53,3,1,52,0,0,0,0,0,0,0,25,30,235,345,500,590,600,565,590,645,645,495,490,415,200,80,15,"6,480",6,"6,480",0,0
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,,,,,,"116,440","102,920","52,540","63,890",10,"39,425","32,630","22,495","8,370",61,33,5.1,2,57,"5,220","1,395","1,220","1,145",280,285,355,490,465,"2,965","4,335","5,425","4,975","4,555","4,520","6,405","8,465","8,985","10,055","11,250","12,155","9,975","6,835","4,190","50,685","266,101","116,440",670,"1,660"
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,,,,,"210,325","158,890","100,125","110,165",35,"38,130","53,625","54,525","12,610",,,6.6,3,56,"7,300","3,855","3,475","4,070",945,"1,030","1,075",940,"1,055","5,315","7,320","9,450","9,505","8,820","8,545","11,045","13,850","15,970","16,320","17,920","21,970","16,745","13,160","9,645","93,820","443,261","210,325","1,975","1,055"
NT451,CAVELL HOSPITAL,,,,,,"2,305","2,305",890,"1,420",0,0,"2,305",0,0,94,63,1.6,2,55,0,0,0,0,0,0,0,*,10,75,110,140,145,190,180,205,260,255,245,210,160,90,20,*,"1,620","1,082","2,305",40,0
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,,,,,,"6,960","6,770","3,655","3,280",25,"4,560",210,425,"1,570",14,5,33.8,14,49,50,0,*,15,*,15,20,70,80,555,690,690,650,595,500,460,435,410,295,250,315,290,310,240,0,"230,004","6,960",10,75
NT408,CHAUCER HOSPITAL,,,,,,"3,095","3,095","1,400","1,690",0,0,"3,095",0,0,123,84,1.2,1,69,0,0,0,0,0,0,0,*,*,30,45,35,70,65,75,105,200,275,325,510,625,475,205,45,"2,320",910,"3,095",60,0
O1X4X,CHEC ACCRINGTON,,,,,,"1,795","1,795",810,985,0,0,"1,795",0,0,,,,,74,0,0,0,0,0,0,0,*,0,0,0,0,*,*,15,40,70,130,205,315,495,305,165,50,"1,795",0,"1,795",0,0
M1P7A,CHEC BASINGSTOKE,,,,,,"2,295","2,295",975,"1,320",0,0,"2,295",0,0,,,,,74,0,0,0,0,0,0,0,0,0,0,0,*,0,10,20,50,90,130,270,440,625,450,180,35,"2,295",0,"2,295",0,0
U3S8Q,CHEC BATTERSEA,,,,,,245,245,115,130,0,0,245,0,0,,,,,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10,25,40,40,65,30,25,*,245,0,245,0,0
X9U9R,CHEC BLACKPOOL,,,,,,"2,525","2,525","1,105","1,420",0,0,"2,525",0,0,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10,30,60,175,290,520,675,475,235,50,"2,525",0,"2,525",0,0
A2X4I,CHEC CHESTERFIELD,,,,,,60,60,30,30,0,0,60,0,0,,,,,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,10,15,15,10,*,60,0,60,0,0
D7D7J,CHEC COVENTRY,,,,,,"2,715","2,715","1,120","1,595",0,0,"2,715",0,0,,,,,75,0,0,0,0,0,0,0,0,0,0,0,*,*,*,30,40,95,150,310,515,720,510,255,75,"2,715",0,"2,715",0,0
G1G4T,CHEC ILFORD,,,,,,"1,010","1,010",475,535,0,0,"1,010",0,0,,,,,70,0,0,0,0,0,0,0,0,0,0,*,*,*,10,15,45,70,140,205,190,160,100,60,15,"1,010",0,"1,010",0,0
S3X1R,CHEC KINGS NORTON,,,,,,80,80,50,35,0,0,80,0,0,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,10,15,30,10,*,*,80,0,80,0,0
P4L6M,CHEC LEEDS,,,,,,115,115,55,60,0,0,115,0,0,,,,,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10,10,20,25,25,10,10,*,115,0,115,0,0
V9C4Q,CHEC LEICESTER,,,,,,740,740,360,380,*,0,740,0,0,,,,,72,0,0,0,0,0,0,0,*,0,0,0,0,*,*,*,15,25,85,125,155,170,95,50,10,740,0,740,0,0
C5P5G,CHEC MILTON KEYNES,,,,,,"1,025","1,025",420,600,0,0,"1,025",0,0,,,,,74,0,0,0,0,0,0,0,0,0,0,*,0,*,*,10,25,20,85,130,195,275,190,70,15,"1,025",0,"1,025",0,0
O7O8S,CHEC NEW CROSS,,,,,,"2,775","2,775","1,190","1,585",*,0,"2,775",0,0,,,,,70,0,0,0,0,0,0,0,0,0,0,*,*,*,10,50,110,230,355,495,570,485,280,125,45,"2,775",0,"2,775",0,0
L3M9Z,CHEC NEWCASTLE,,,,,,"1,760","1,760",730,"1,030",0,0,"1,760",0,0,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,0,*,20,20,50,110,215,330,490,340,160,25,"1,760",0,"1,760",0,0
U1Y1V,CHEC NORTHAMPTON,,,,,,"1,230","1,230",470,755,0,0,"1,230",0,0,,,,,75,0,0,0,0,0,0,0,0,0,0,*,*,0,0,10,15,35,80,130,230,350,235,125,15,"1,230",0,"1,230",0,0
W1O5A,CHEC NOTTINGHAM,,,,,,"1,695","1,695",730,965,0,0,"1,695",0,0,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,*,*,15,25,60,110,200,290,440,315,175,55,"1,695",0,"1,695",0,0
Z9G5F,CHEC PRESTON,,,,,,"1,025","1,025",465,565,0,0,"1,025",0,0,,,,,74,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,20,35,75,140,205,235,180,90,30,"1,025",0,"1,025",0,0
U4H3N,CHEC SHEFFIELD,,,,,,635,635,280,355,0,0,635,0,0,,,,,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,10,25,50,85,125,155,115,60,*,635,0,635,0,0
Q7H3A,CHEC SLOUGH,,,,,,"2,515","2,515","1,140","1,375",0,0,"2,515",0,0,,,,,73,0,0,0,0,0,0,0,0,0,0,0,0,*,*,25,60,110,185,380,495,590,410,185,55,"2,515",0,"2,515",0,0
O0P8A,CHEC STEVENAGE,,,,,,"4,665","4,665","1,880","2,785",0,0,"4,665",0,0,,,,,76,0,0,0,0,0,0,0,0,0,0,0,10,*,10,15,70,120,265,520,880,"1,220",890,505,160,"4,665",0,"4,665",0,0
K0B8K,CHEC STOCKPORT,,,,,,"1,975","1,975",870,"1,105",0,0,"1,975",0,0,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10,30,70,120,220,380,530,395,180,30,"1,975",0,"1,975",0,0
N4X3H,CHEC STOKE,,,,,,"2,510","2,510","1,150","1,360",0,0,"2,510",0,0,,,,,75,0,0,0,0,0,0,0,0,0,*,0,*,*,*,10,40,80,150,265,425,685,510,260,75,"2,510",0,"2,510",0,0
I8H7X,CHEC SWINDON,,,,,,350,350,125,225,0,0,350,0,0,,,,,75,0,0,0,0,0,0,0,0,0,*,0,0,*,*,*,10,*,20,40,50,105,65,40,10,350,0,350,0,0
H0H5O,CHEC TRAFFORD,,,,,,245,245,120,130,0,0,245,0,0,,,,,72,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,15,15,35,60,60,35,10,*,245,0,245,0,0
B7B7Y,CHEC WARRINGTON,,,,,,800,800,335,465,0,0,800,0,0,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,10,35,65,100,160,205,125,80,20,800,0,800,0,0
H5K0B,CHEC WATFORD,,,,,,"5,260","5,260","2,230","3,030",0,0,"5,260",0,0,,,,,74,0,0,0,0,0,0,0,0,0,0,0,*,*,15,35,70,210,390,610,"1,010","1,335",935,525,120,"5,260",0,"5,260",0,0
U5B3P,CHEC WEST BROM,,,,,,70,70,25,45,0,0,70,0,0,,,,,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10,10,20,15,*,*,0,70,0,70,0,0
U6E3R,CHEC WORCESTER,,,,,,"1,470","1,470",640,830,0,0,"1,470",0,0,,,,,76,0,0,0,0,0,0,0,0,0,*,0,0,*,*,15,*,30,95,150,290,385,315,145,40,"1,470",0,"1,470",0,0
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,,,,,,"220,690","169,415","101,055","119,615",20,"62,260","79,020","4,140","24,000",47,14,4.4,1,49,"15,535","6,740","5,440","4,580","1,080","1,105","1,070",755,770,"5,325","9,095","12,155","11,115","9,255","8,360","8,675","10,470","11,760","11,480","12,200","15,110","12,780","11,460","8,100","74,375","431,017","220,690","1,330","2,675"
